a,b,km,csi
SL001,SL003,2.9194301285007986,0.6138059701492538
SL001,SL005,3.9763318988330227,0.8511166253101737
SL001,SL006,7.295274667691057,0.5340501792114696
SL001,SL007,12.479690085688139,0.866481223922114
SL001,SL008,16.863807596116747,0.7941176470588235
SL001,SL009,8.559619602075726,0.8211920529801324
SL001,SL011,9.139287132432154,0.8476190476190476
SL001,SL012,4.507377608443774,0.8370473537604457
SL001,SL015,11.849532025618199,0.5628930817610063
SL001,SL016,10.579739687267457,0.8023598820058997
SL001,SL018,5.603051330945884,0.6164383561643836
SL001,SL019,5.813440391128823,0.6240369799691834
SL001,SL020,6.515353987999283,0.8
SL001,SL021,12.854559225154553,0.8175046554934823
SL001,SL022,8.632618910287453,0.5748663101604278
SL001,SL023,16.65383549535696,0.7981651376146789
SL001,SL024,20.70641180588154,0.8290598290598291
SL001,SL025,7.155708648785533,0.8466353677621283
SL001,SL026,4.655335034482203,0.8849407783417935
SL001,SL027,3.4947005079439544,0.7940340909090909
SL001,SL029,5.2915824313231745,0.76
SL001,SL032,2.885478457073916,0.7642276422764228
SL001,SL033,10.034584228823745,0.8329466357308585
SL001,SL034,5.79521613752428,0.7604790419161677
SL001,SL035,2.890430713544632,0.7124542124542125
SL001,SL036,12.28475827860828,0.6818181818181818
SL001,SL037,16.880421827124277,0.8344370860927153
SL001,SL038,1.059236596089088,0.8376623376623377
SL001,SL040,5.538619028988684,0.871031746031746
SL001,SL041,4.514020356070462,0.8057971014492754
SL001,SL042,8.53320489215217,0.8067729083665338
SL001,SL044,14.734883649919206,0.7983471074380165
SL001,SL045,18.06886610770334,0.8368983957219251
SL001,SL050,15.231282928062345,0.2504930966469428
SL001,SL051,19.28558404435198,0.42857142857142855
SL001,SL054,22.039174821462385,0.8137254901960784
SL001,SL055,7.331783082452376,0.8638613861386139
SL001,SL056,2.763703400736147,0.7926267281105991
SL001,SL062,7.524099673173872,0.8076923076923077
SL001,SL068,5.712153834450301,0.8737864077669902
SL001,SL017,20.388438939448072,0.7545454545454545
SL003,SL005,3.321582245045524,0.7129411764705882
SL003,SL006,8.341191005597668,0.6133720930232558
SL003,SL007,10.735369198657382,0.6422893481717011
SL003,SL008,15.959094588204087,0.5226039783001808
SL003,SL009,5.643275357933455,0.6686390532544378
SL003,SL011,8.82931399374267,0.6311336717428088
SL003,SL012,7.426420213535811,0.65402124430956
SL003,SL015,10.000883247839504,0.806640625
SL003,SL016,7.977093655089697,0.4909090909090909
SL003,SL018,7.937315683423984,0.3347826086956522
SL003,SL019,6.0080834708258175,0.6350710900473934
