,enhancement
SL003,48.08893371441838
SL005,53.76482540321561
SL007,43.01895541954404
SL012,46.198711389936165
SL015,48.44049232908537
SL016,51.54992604195277
SL019,59.72589829049371
SL020,49.630591128331986
SL024,32.54442054885108
SL025,50.48256165266932
SL026,57.48834921738387
SL027,49.4074560075016
SL035,47.346991161431475
SL038,64.12337967905079
SL040,71.6645645773676
SL042,52.301736508950306
SL050,28.784273265968537
SL055,43.33318708599419
SL062,91.30708778887234
SL017,27.996978422871944
