low_f0,high_f0,low_f0.5,high_f0.5,low_f1,high_f1,low_f2,high_f2,low_f5,high_f5,sensor,rows,duplicates,n_implausible,n_ab_total,n_ab_highband,n_ab_lowband,n_highband,pct_ab_highband,n_flatline,n_zero_run,pct_flatline,n_clean,pct_clean,pct_ab_flag,pm_a_max_raw,pm_a_max_clean
30.2,57.6,20.5,57.6,15.5,57.1,5.5,39.5,0.4,5.6,SL009,168047,0,0,41278,20971,20307,36754,57.1,0,29917,0.0,126769,75.4,24.6,82.7,77.2
24.5,56.8,10.2,56.8,4.8,55.9,0.6,40.4,0.1,4.5,SL027_-_SEE_Building_new,919471,3,1,159320,125760,33560,225020,55.9,0,69111,0.0,760151,82.7,17.3,343.9,322.8
21.6,55.1,8.7,55.1,4.0,53.8,0.5,33.6,0.0,2.3,SL029,190822,9,0,26833,20673,6160,38397,53.8,0,19430,0.0,163989,85.9,14.1,301.2,301.2
28.3,50.9,14.0,50.9,8.3,49.8,1.6,30.6,0.1,3.1,SL005_Kirkstall_Valley_Primary,523788,9,0,83330,47770,35560,95880,49.8,0,61666,0.0,440458,84.1,15.9,358.6,358.6
19.9,50.7,5.9,50.7,2.1,49.2,0.1,29.2,0.0,1.1,SL024_Wetherby_Town_Centre,1026679,0,5,120596,103159,17437,209687,49.2,0,82998,0.0,906083,88.3,11.7,3150.0,705.7
21.4,50.2,7.9,50.2,3.1,48.7,0.2,28.7,0.0,1.5,SL015_-_Garforth_Main_Street,417632,6,0,63039,53623,9416,110061,48.7,0,9343,0.0,354593,84.9,15.1,326.0,326.0
22.4,49.5,8.0,49.5,3.4,48.2,0.4,32.0,0.0,13.6,SL022_Church_Lane_Horsforth,507381,0,13009,67999,54583,13416,113195,48.2,0,32280,0.0,439382,86.6,13.4,1030.6,224.4
16.7,46.5,6.7,46.5,2.9,45.0,0.2,24.5,0.0,0.9,SL036,99069,0,0,11187,8894,2293,19752,45.0,0,13574,0.0,87882,88.7,11.3,154.1,154.1
26.8,45.3,12.5,45.3,8.3,44.2,5.3,29.4,1.2,18.2,SL033,404842,6,2,67078,41045,26033,92942,44.2,0,24973,0.0,337764,83.4,16.6,1552.3,241.7
22.8,44.1,8.9,44.1,4.0,42.9,0.3,24.4,0.0,1.5,SL012_Morley,934506,8,415,125942,97858,28084,228033,42.9,0,43467,0.0,808564,86.5,13.5,3326.0,306.2
22.3,43.4,6.0,43.4,1.9,42.4,0.1,29.7,0.0,20.0,SL019_Cornwall_Crescent_Rothwell,735362,9,40338,97913,87630,10283,206918,42.4,0,27079,0.0,637449,86.7,13.3,3404.5,377.8
23.0,41.4,8.6,41.4,4.2,40.1,0.5,19.3,0.0,0.8,SL054,80407,27,0,10227,7638,2589,19048,40.1,0,10227,0.0,70180,87.3,12.7,318.9,318.9
15.8,39.2,5.8,39.2,2.2,37.8,0.2,21.2,0.0,1.6,SL051,232256,15,0,28105,24474,3631,64725,37.8,0,49289,0.0,204151,87.9,12.1,271.4,135.8
22.3,37.8,6.4,37.8,2.1,35.9,0.1,15.6,0.0,1.6,SL068,266386,3,0,15425,10514,4911,29305,35.9,0,29298,0.0,250961,94.2,5.8,406.0,406.0
22.2,31.4,7.7,31.4,2.9,30.1,0.2,14.0,0.0,0.6,SL038,322612,0,0,27761,20412,7349,67712,30.1,0,22222,0.0,294851,91.4,8.6,443.6,443.6
