Data supplied by UK-AIR on 2/5/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2024,01:00,18.358,R,ugm-3 (Ref.eq),7.40144,R,ugm-3,11.95389,R,ugm-3,23.30261,R,ugm-3,10.000,R,ugm-3 (BAM)
01-01-2024,02:00,7.730,R,ugm-3 (Ref.eq),5.31162,R,ugm-3,9.52361,R,ugm-3,17.66799,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2024,03:00,4.831,R,ugm-3 (Ref.eq),4.44087,R,ugm-3,5.20828,R,ugm-3,12.01751,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2024,04:00,2.899,R,ugm-3 (Ref.eq),2.12247,R,ugm-3,3.28364,R,ugm-3,6.53806,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2024,05:00,0.966,R,ugm-3 (Ref.eq),1.56737,R,ugm-3,1.97962,R,ugm-3,4.38288,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2024,06:00,4.831,R,ugm-3 (Ref.eq),0.68572,R,ugm-3,1.40810,R,ugm-3,2.45953,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2024,07:00,11.594,R,ugm-3 (Ref.eq),1.14287,R,ugm-3,2.19014,R,ugm-3,3.94251,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2024,08:00,10.628,R,ugm-3 (Ref.eq),1.43675,R,ugm-3,2.03239,R,ugm-3,4.23538,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2024,09:00,9.662,R,ugm-3 (Ref.eq),1.60002,R,ugm-3,2.44979,R,ugm-3,4.90311,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2024,10:00,16.425,R,ugm-3 (Ref.eq),2.44901,R,ugm-3,3.43945,R,ugm-3,7.19454,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2024,11:00,7.730,R,ugm-3 (Ref.eq),2.44901,R,ugm-3,4.69337,R,ugm-3,8.44846,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2024,12:00,13.527,R,ugm-3 (Ref.eq),5.55108,R,ugm-3,8.80983,R,ugm-3,17.32137,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2024,13:00,13.527,R,ugm-3 (Ref.eq),3.88576,R,ugm-3,8.55460,R,ugm-3,14.51268,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2024,14:00,16.425,R,ugm-3 (Ref.eq),4.21229,R,ugm-3,7.14288,R,ugm-3,13.60164,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2024,15:00,10.628,R,ugm-3 (Ref.eq),5.55108,R,ugm-3,17.63995,R,ugm-3,26.15149,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2024,16:00,17.392,R,ugm-3 (Ref.eq),16.88182,R,ugm-3,42.15652,R,ugm-3,68.04162,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2024,17:00,23.189,R,ugm-3 (Ref.eq),10.97155,R,ugm-3,40.08801,R,ugm-3,56.91082,R,ugm-3,9.000,R,ugm-3 (BAM)
01-01-2024,18:00,21.256,R,ugm-3 (Ref.eq),9.99195,R,ugm-3,35.12827,R,ugm-3,50.44905,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2024,19:00,17.392,R,ugm-3 (Ref.eq),9.07765,R,ugm-3,26.98095,R,ugm-3,40.89983,R,ugm-3,9.000,R,ugm-3 (BAM)
