Data supplied by UK-AIR on 12/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2025,01:00,21.256,R,ugm-3 (Ref.eq),2.72470,R,ugm-3,11.12629,R,ugm-3,15.30410,R,ugm-3,24.000,R,ugm-3 (BAM)
01-01-2025,02:00,1.932,R,ugm-3 (Ref.eq),2.11399,R,ugm-3,8.77303,R,ugm-3,12.01444,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,03:00,2.899,R,ugm-3 (Ref.eq),4.68602,R,ugm-3,15.28831,R,ugm-3,22.47343,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,04:00,2.899,R,ugm-3 (Ref.eq),6.16581,R,ugm-3,15.32566,R,ugm-3,24.77978,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,05:00,2.899,R,ugm-3 (Ref.eq),1.97306,R,ugm-3,3.57190,R,ugm-3,6.59721,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,06:00,1.932,R,ugm-3 (Ref.eq),1.05700,R,ugm-3,2.34835,R,ugm-3,3.96906,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,07:00,-0.966,R,ugm-3 (Ref.eq),1.05700,R,ugm-3,2.72380,R,ugm-3,4.34451,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,08:00,-0.966,R,ugm-3 (Ref.eq),0.84560,R,ugm-3,3.31612,R,ugm-3,4.61269,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,09:00,2.899,R,ugm-3 (Ref.eq),0.91606,R,ugm-3,3.63716,R,ugm-3,5.04177,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,10:00,4.831,R,ugm-3 (Ref.eq),1.44456,R,ugm-3,3.47044,R,ugm-3,5.68540,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2025,11:00,3.865,R,ugm-3 (Ref.eq),1.55026,R,ugm-3,3.79109,R,ugm-3,6.16813,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2025,12:00,2.899,R,ugm-3 (Ref.eq),2.71296,R,ugm-3,4.85102,R,ugm-3,9.01083,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2025,13:00,3.865,R,ugm-3 (Ref.eq),3.80519,R,ugm-3,4.78537,R,ugm-3,10.61990,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,14:00,2.899,R,ugm-3 (Ref.eq),4.96788,R,ugm-3,6.64983,R,ugm-3,14.26714,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,15:00,3.865,R,ugm-3 (Ref.eq),4.05182,R,ugm-3,6.12355,R,ugm-3,12.33625,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,16:00,3.865,R,ugm-3 (Ref.eq),5.91918,R,ugm-3,7.28300,R,ugm-3,16.35894,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,17:00,5.797,R,ugm-3 (Ref.eq),9.58343,R,ugm-3,14.21535,R,ugm-3,28.90974,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2025,18:00,13.527,R,ugm-3 (Ref.eq),13.88188,R,ugm-3,20.33618,R,ugm-3,41.62144,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2025,19:00,9.662,R,ugm-3 (Ref.eq),13.35339,R,ugm-3,23.07743,R,ugm-3,43.55233,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2025,20:00,14.493,R,ugm-3 (Ref.eq),20.40003,R,ugm-3,26.00351,R,ugm-3,57.28312,R,ugm-3,12.000,R,ugm-3 (BAM)
01-01-2025,21:00,11.594,R,ugm-3 (Ref.eq),11.48603,R,ugm-3,24.33160,R,ugm-3,41.94326,R,ugm-3,10.000,R,ugm-3 (BAM)
01-01-2025,22:00,16.425,R,ugm-3 (Ref.eq),14.97411,R,ugm-3,20.43144,R,ugm-3,43.39143,R,ugm-3,9.000,R,ugm-3 (BAM)
01-01-2025,23:00,13.527,R,ugm-3 (Ref.eq),5.88395,R,ugm-3,15.54331,R,ugm-3,24.56523,R,ugm-3,9.000,R,ugm-3 (BAM)
01-01-2025,24:00,9.662,R,ugm-3 (Ref.eq),5.91918,R,ugm-3,14.57748,R,ugm-3,23.65342,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2025,01:00,7.730,R,ugm-3 (Ref.eq),5.40378,R,ugm-3,9.44413,R,ugm-3,17.72980,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,02:00,5.797,R,ugm-3 (Ref.eq),1.97355,R,ugm-3,4.05155,R,ugm-3,7.07762,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,03:00,6.763,R,ugm-3 (Ref.eq),1.51541,R,ugm-3,6.30897,R,ugm-3,8.63256,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,04:00,5.797,R,ugm-3 (Ref.eq),0.95154,R,ugm-3,4.86797,R,ugm-3,6.32697,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,05:00,3.865,R,ugm-3 (Ref.eq),4.40525,R,ugm-3,6.86444,R,ugm-3,13.61906,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,06:00,4.831,R,ugm-3 (Ref.eq),9.16293,R,ugm-3,17.15626,R,ugm-3,31.20589,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,07:00,6.763,R,ugm-3 (Ref.eq),9.76204,R,ugm-3,20.74158,R,ugm-3,35.70983,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,08:00,6.763,R,ugm-3 (Ref.eq),21.00425,R,ugm-3,30.79552,R,ugm-3,63.00158,R,ugm-3,4.000,R,ugm-3 (BAM)
02-01-2025,09:00,3.865,R,ugm-3 (Ref.eq),19.66505,R,ugm-3,27.86241,R,ugm-3,58.01507,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,10:00,1.932,R,ugm-3 (Ref.eq),14.30826,R,ugm-3,25.56684,R,ugm-3,47.50587,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,11:00,1.932,R,ugm-3 (Ref.eq),12.29947,R,ugm-3,20.71143,R,ugm-3,39.57035,R,ugm-3,3.000,R,ugm-3 (BAM)
02-01-2025,12:00,6.763,R,ugm-3 (Ref.eq),17.12762,R,ugm-3,24.19289,R,ugm-3,50.45488,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,13:00,15.459,R,ugm-3 (Ref.eq),16.63424,R,ugm-3,22.10763,R,ugm-3,47.61311,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,14:00,21.256,R,ugm-3 (Ref.eq),16.42278,R,ugm-3,16.64107,R,ugm-3,41.82232,R,ugm-3,3.000,R,ugm-3 (BAM)
02-01-2025,15:00,15.459,R,ugm-3 (Ref.eq),20.29941,R,ugm-3,16.75588,R,ugm-3,47.88120,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,16:00,28.986,R,ugm-3 (Ref.eq),18.36109,R,ugm-3,26.16212,R,ugm-3,54.31540,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2025,17:00,15.459,R,ugm-3 (Ref.eq),15.04834,R,ugm-3,28.18535,R,ugm-3,51.25915,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,18:00,17.392,R,ugm-3 (Ref.eq),21.10997,R,ugm-3,25.05709,R,ugm-3,57.42526,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2025,19:00,18.358,R,ugm-3 (Ref.eq),14.80165,R,ugm-3,26.36526,R,ugm-3,49.06080,R,ugm-3,10.000,R,ugm-3 (BAM)
02-01-2025,20:00,12.561,R,ugm-3 (Ref.eq),12.68713,R,ugm-3,26.55123,R,ugm-3,46.00455,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2025,21:00,11.594,R,ugm-3 (Ref.eq),15.29504,R,ugm-3,25.60874,R,ugm-3,49.06080,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2025,22:00,8.696,R,ugm-3 (Ref.eq),7.96470,R,ugm-3,17.27773,R,ugm-3,29.49010,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,23:00,5.797,R,ugm-3 (Ref.eq),10.32591,R,ugm-3,18.91185,R,ugm-3,34.74470,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,24:00,8.696,R,ugm-3 (Ref.eq),7.47131,R,ugm-3,15.56781,R,ugm-3,27.02365,R,ugm-3,5.000,R,ugm-3 (BAM)
03-01-2025,01:00,6.763,R,ugm-3 (Ref.eq),7.47318,R,ugm-3,14.19823,R,ugm-3,25.65694,R,ugm-3,6.000,R,ugm-3 (BAM)
03-01-2025,02:00,6.763,R,ugm-3 (Ref.eq),1.26903,R,ugm-3,6.98766,R,ugm-3,8.93348,R,ugm-3,9.000,R,ugm-3 (BAM)
03-01-2025,03:00,6.763,R,ugm-3 (Ref.eq),1.41003,R,ugm-3,5.23490,R,ugm-3,7.39692,R,ugm-3,6.000,R,ugm-3 (BAM)
03-01-2025,04:00,9.662,R,ugm-3 (Ref.eq),0.95177,R,ugm-3,3.04311,R,ugm-3,4.50247,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,05:00,7.730,R,ugm-3 (Ref.eq),0.74027,R,ugm-3,2.24179,R,ugm-3,3.37685,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,06:00,6.763,R,ugm-3 (Ref.eq),1.26903,R,ugm-3,5.66550,R,ugm-3,7.61132,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,07:00,3.865,R,ugm-3 (Ref.eq),4.82937,R,ugm-3,10.39056,R,ugm-3,17.79548,R,ugm-3,5.000,R,ugm-3 (BAM)
03-01-2025,08:00,4.831,R,ugm-3 (Ref.eq),10.25799,R,ugm-3,14.44857,R,ugm-3,30.17728,R,ugm-3,7.000,R,ugm-3 (BAM)
03-01-2025,09:00,6.763,R,ugm-3 (Ref.eq),19.91672,R,ugm-3,23.59831,R,ugm-3,54.13685,R,ugm-3,5.000,R,ugm-3 (BAM)
03-01-2025,10:00,11.594,R,ugm-3 (Ref.eq),17.44916,R,ugm-3,28.56106,R,ugm-3,55.31607,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,11:00,6.763,R,ugm-3 (Ref.eq),15.72187,R,ugm-3,21.99019,R,ugm-3,46.09673,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,12:00,4.831,R,ugm-3 (Ref.eq),9.55298,R,ugm-3,14.45757,R,ugm-3,29.10526,R,ugm-3,2.000,R,ugm-3 (BAM)
03-01-2025,13:00,6.763,R,ugm-3 (Ref.eq),12.83130,R,ugm-3,16.23817,R,ugm-3,35.91257,R,ugm-3,2.000,R,ugm-3 (BAM)
03-01-2025,14:00,5.797,R,ugm-3 (Ref.eq),12.93706,R,ugm-3,16.71923,R,ugm-3,36.55578,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,15:00,6.763,R,ugm-3 (Ref.eq),23.61806,R,ugm-3,33.62805,R,ugm-3,69.84190,R,ugm-3,4.000,R,ugm-3 (BAM)
